+--------+------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Locale | Key                                                                          | Value                                                                                                                                                                                                                                                                                                                                                        |
|   en   | devise.sessions.already_signed_out                                           | Signed out successfully.                                                                                                                                                                                                                                                                                                                                     |
|   en   | devise.sessions.signed_in                                                    | Signed in successfully.                                                                                                                                                                                                                                                                                                                                      |
|   en   | devise.sessions.signed_out                                                   | Signed out successfully.                                                                                                                                                                                                                                                                                                                                     |
|   en   | devise.unlocks.send_instructions                                             | You will receive an email with instructions for how to unlock your account in a few minutes.                                                                                                                                                                                                                                                                 |
|   en   | devise.unlocks.send_paranoid_instructions                                    | If your account exists, you will receive an email with instructions for how to unlock it in a few minutes.                                                                                                                                                                                                                                                   |
|   en   | devise.unlocks.unlocked                                                      | Your account has been unlocked successfully. Please sign in to continue.                                                                                                                                                                                                                                                                                     |
|   en   | edit                                                                         | edit                                                                                                                                                                                                                                                                                                                                                         |
|   en   | errors.format                                                                | %{attribute} %{message}                                                                                                                                                                                                                                                                                                                                      |
|   en   | errors.messages.accepted                                                     | tem de ser aceite                                                                                                                                                                                                                                                                                                                                            |
|   en   | errors.messages.already_confirmed                                            | was already confirmed, please try signing in                                                                                                                                                                                                                                                                                                                 |
|   en   | errors.messages.blank                                                        | tem que constar                                                                                                                                                                                                                                                                                                                                              |
|   en   | errors.messages.confirmation                                                 | não coincide com a confirmação                                                                                                                                                                                                                                                                                                                               |
|   en   | errors.messages.confirmation_period_expired                                  | needs to be confirmed within %{period}, please request a new one                                                                                                                                                                                                                                                                                             |
|   en   | errors.messages.empty                                                        | não pode estar vazio                                                                                                                                                                                                                                                                                                                                         |
|   en   | errors.messages.equal_to                                                     | tem de ser igual a %{count}                                                                                                                                                                                                                                                                                                                                  |
|   en   | errors.messages.even                                                         | tem de ser par                                                                                                                                                                                                                                                                                                                                               |
|   en   | errors.messages.exclusion                                                    | é reservado                                                                                                                                                                                                                                                                                                                                                  |
|   en   | errors.messages.expired                                                      | has expired, please request a new one                                                                                                                                                                                                                                                                                                                        |
|   en   | errors.messages.greater_than                                                 | tem de ser maior que %{count}                                                                                                                                                                                                                                                                                                                                |
|   en   | errors.messages.greater_than_or_equal_to                                     | tem de ser maior ou igual a %{count}                                                                                                                                                                                                                                                                                                                         |
|   en   | errors.messages.inclusion                                                    | não está incluído na lista                                                                                                                                                                                                                                                                                                                                   |
|   en   | errors.messages.invalid                                                      | é inválido                                                                                                                                                                                                                                                                                                                                                   |
|   en   | errors.messages.less_than                                                    | tem de ser menor que %{count}                                                                                                                                                                                                                                                                                                                                |
|   en   | errors.messages.less_than_or_equal_to                                        | tem de ser menor ou igual a %{count}                                                                                                                                                                                                                                                                                                                         |
|   en   | errors.messages.not_a_number                                                 | não é um numeral                                                                                                                                                                                                                                                                                                                                             |
|   en   | errors.messages.not_an_integer                                               | tem de ser um inteiro                                                                                                                                                                                                                                                                                                                                        |
|   en   | errors.messages.not_found                                                    | not found                                                                                                                                                                                                                                                                                                                                                    |
|   en   | errors.messages.not_locked                                                   | was not locked                                                                                                                                                                                                                                                                                                                                               |
|   en   | errors.messages.not_saved.one                                                | 1 error prohibited this %{resource} from being saved:                                                                                                                                                                                                                                                                                                        |
|   en   | errors.messages.not_saved.other                                              | %{count} errors prohibited this %{resource} from being saved:                                                                                                                                                                                                                                                                                                |
|   en   | errors.messages.odd                                                          | tem de ser ímpar                                                                                                                                                                                                                                                                                                                                             |
|   en   | errors.messages.record_invalid                                               | A validação falhou: %{errors}                                                                                                                                                                                                                                                                                                                                |
|   en   | errors.messages.taken                                                        | não está disponível (pois este dado já consta do sistema)                                                                                                                                                                                                                                                                                                    |
|   en   | errors.messages.too_long                                                     | é demasiado grande (o máximo é de %{count} caracteres)                                                                                                                                                                                                                                                                                                       |
|   en   | errors.messages.too_short                                                    | é demasiado pequeno (o mínimo é de %{count} caracteres)                                                                                                                                                                                                                                                                                                      |
|   en   | errors.messages.wrong_length                                                 | comprimento errado (deve ter %{count} caracteres)                                                                                                                                                                                                                                                                                                            |
|   en   | errors.template.body                                                         | Por favor, verifique os seguintes campos:                                                                                                                                                                                                                                                                                                                    |
|   en   | errors.template.header.one                                                   | Não foi possível guardar %{model}: 1 erro                                                                                                                                                                                                                                                                                                                    |
|   en   | errors.template.header.other                                                 | Não foi possível guardar %{model}: %{count} erros                                                                                                                                                                                                                                                                                                            |
|   en   | find                                                                         | find                                                                                                                                                                                                                                                                                                                                                         |
|   en   | hello                                                                        | Hello world                                                                                                                                                                                                                                                                                                                                                  |
|   en   | helpers.select.prompt                                                        | Por favor selecione                                                                                                                                                                                                                                                                                                                                          |
|   en   | helpers.submit.create                                                        | Criar %{model}                                                                                                                                                                                                                                                                                                                                               |
|   en   | helpers.submit.submit                                                        | Gravar %{model}                                                                                                                                                                                                                                                                                                                                              |
|   en   | helpers.submit.update                                                        | Atualizar %{model}                                                                                                                                                                                                                                                                                                                                           |
|   en   | number.currency.format.delimiter                                             | .                                                                                                                                                                                                                                                                                                                                                            |
|   en   | number.currency.format.format                                                | %u%n                                                                                                                                                                                                                                                                                                                                                         |
|   en   | number.currency.format.precision                                             | 2                                                                                                                                                                                                                                                                                                                                                            |
|   en   | number.currency.format.separator                                             | ,                                                                                                                                                                                                                                                                                                                                                            |
|   en   | number.currency.format.significant                                           | Significant                                                                                                                                                                                                                                                                                                                                                  |
|   en   | number.currency.format.strip_insignificant_zeros                             | Strip insignificant zeros                                                                                                                                                                                                                                                                                                                                    |
|   en   | number.currency.format.unit                                                  | R$                                                                                                                                                                                                                                                                                                                                                           |
|   en   | number.format.delimiter                                                      | .                                                                                                                                                                                                                                                                                                                                                            |
|   en   | number.format.precision                                                      | 3                                                                                                                                                                                                                                                                                                                                                            |
|   en   | number.format.separator                                                      | ,                                                                                                                                                                                                                                                                                                                                                            |
|   en   | number.format.significant                                                    | Significant                                                                                                                                                                                                                                                                                                                                                  |
|   en   | number.format.strip_insignificant_zeros                                      | Strip insignificant zeros                                                                                                                                                                                                                                                                                                                                    |
|   en   | number.human.decimal_units.format                                            | %n %u                                                                                                                                                                                                                                                                                                                                                        |
|   en   | number.human.decimal_units.units.billion.one                                 | bilhão                                                                                                                                                                                                                                                                                                                                                       |
|   en   | number.human.decimal_units.units.billion.other                               | bilhões                                                                                                                                                                                                                                                                                                                                                      |
|   en   | number.human.decimal_units.units.million.one                                 | milhão                                                                                                                                                                                                                                                                                                                                                       |
|   en   | number.human.decimal_units.units.million.other                               | milhões                                                                                                                                                                                                                                                                                                                                                      |
|   en   | number.human.decimal_units.units.quadrillion.one                             | quadrilhão                                                                                                                                                                                                                                                                                                                                                   |
|   en   | number.human.decimal_units.units.quadrillion.other                           | quadrilhões                                                                                                                                                                                                                                                                                                                                                  |
|   en   | number.human.decimal_units.units.thousand                                    | mil                                                                                                                                                                                                                                                                                                                                                          |
|   en   | number.human.decimal_units.units.trillion.one                                | trilhão                                                                                                                                                                                                                                                                                                                                                      |
|   en   | number.human.decimal_units.units.trillion.other                              | trilhões                                                                                                                                                                                                                                                                                                                                                     |
|   en   | number.human.decimal_units.units.unit                                        | Unit                                                                                                                                                                                                                                                                                                                                                         |
|   en   | number.human.format.delimiter                                                | Delimiter                                                                                                                                                                                                                                                                                                                                                    |
|   en   | number.human.format.precision                                                | 1                                                                                                                                                                                                                                                                                                                                                            |
|   en   | number.human.format.significant                                              | true                                                                                                                                                                                                                                                                                                                                                         |
|   en   | number.human.format.strip_insignificant_zeros                                | true                                                                                                                                                                                                                                                                                                                                                         |
|   en   | number.human.storage_units.format                                            | %n %u                                                                                                                                                                                                                                                                                                                                                        |
|   en   | number.human.storage_units.units.byte.one                                    | Byte                                                                                                                                                                                                                                                                                                                                                         |
|   en   | number.human.storage_units.units.byte.other                                  | Bytes                                                                                                                                                                                                                                                                                                                                                        |
|   en   | number.human.storage_units.units.gb                                          | GB                                                                                                                                                                                                                                                                                                                                                           |
|   en   | number.human.storage_units.units.kb                                          | KB                                                                                                                                                                                                                                                                                                                                                           |
|   en   | number.human.storage_units.units.mb                                          | MB                                                                                                                                                                                                                                                                                                                                                           |
|   en   | number.human.storage_units.units.tb                                          | TB                                                                                                                                                                                                                                                                                                                                                           |
|   en   | number.percentage.format.delimiter                                           | Delimiter                                                                                                                                                                                                                                                                                                                                                    |
|   en   | number.precision.format.delimiter                                            | Delimiter                                                                                                                                                                                                                                                                                                                                                    |
|   en   | ordinal.eighth                                                               | Oitavo                                                                                                                                                                                                                                                                                                                                                       |
|   en   | ordinal.fifth                                                                | Quinto                                                                                                                                                                                                                                                                                                                                                       |
|   en   | ordinal.first                                                                | Primeiro                                                                                                                                                                                                                                                                                                                                                     |
|   en   | ordinal.fourth                                                               | Quarto                                                                                                                                                                                                                                                                                                                                                       |
|   en   | ordinal.ninth                                                                | Nono                                                                                                                                                                                                                                                                                                                                                         |
|   en   | ordinal.second                                                               | Segundo                                                                                                                                                                                                                                                                                                                                                      |
|   en   | ordinal.seventh                                                              | Sétimo                                                                                                                                                                                                                                                                                                                                                       |
|   en   | ordinal.sixth                                                                | Sexto                                                                                                                                                                                                                                                                                                                                                        |
|   en   | ordinal.third                                                                | Terceiro                                                                                                                                                                                                                                                                                                                                                     |
|   en   | remove                                                                       | remove                                                                                                                                                                                                                                                                                                                                                       |
|   en   | show                                                                         | show                                                                                                                                                                                                                                                                                                                                                         |
|   en   | student_removal_lock.registration                                            | A remoção do bolsista não é permitida se já tiver sido matriculado.                                                                                                                                                                                                                                                                                          |
|   en   | support.array.last_word_connector                                            | , e                                                                                                                                                                                                                                                                                                                                                          |
|   en   | support.array.two_words_connector                                            | e                                                                                                                                                                                                                                                                                                                                                            |
|   en   | support.array.words_connector                                                | ,                                                                                                                                                                                                                                                                                                                                                            |
|   en   | time.am                                                                      | am                                                                                                                                                                                                                                                                                                                                                           |
|   en   | time.formats.compact                                                         | %d/%b/%y, %H:%M:%S                                                                                                                                                                                                                                                                                                                                           |
|   en   | time.formats.default                                                         | %A, %d de %B de %Y, %H:%Mh                                                                                                                                                                                                                                                                                                                                   |
|   en   | time.formats.full                                                            | %A, %d de %B de %Y, %H:%M:%S                                                                                                                                                                                                                                                                                                                                 |
|   en   | time.formats.hms                                                             | %H:%M:%S                                                                                                                                                                                                                                                                                                                                                     |
|   en   | time.formats.long                                                            | %A, %d de %B de %Y, %H:%Mh                                                                                                                                                                                                                                                                                                                                   |
