+--------+------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Locale | Key                                                                          | Value                                                                                                                                                                                                                                                                                                                                                        |
|   en   | date.day_names                                                               | ["Domingo", "Segunda-feira", "Ter\u00E7a-feira", "Quarta-feira", "Quinta-feira", "Sexta-feira", "S\u00E1bado"]                                                                                                                                                                                                                                               |
|   en   | date.formats.default                                                         | %d/%m/%Y                                                                                                                                                                                                                                                                                                                                                     |
|   en   | date.formats.long                                                            | %d de %B de %Y                                                                                                                                                                                                                                                                                                                                               |
|   en   | date.formats.seeder                                                          | %-Y-%m-%d                                                                                                                                                                                                                                                                                                                                                    |
|   en   | date.formats.short                                                           | %d de %B                                                                                                                                                                                                                                                                                                                                                     |
|   en   | date.formats.underscore                                                      | %d_%b_%y                                                                                                                                                                                                                                                                                                                                                     |
|   en   | date.month_names                                                             | [nil, "Janeiro", "Fevereiro", "Mar\u00E7o", "Abril", "Maio", "Junho", "Julho", "Agosto", "Setembro", "Outubro", "Novembro", "Dezembro"]                                                                                                                                                                                                                      |
|   en   | date.order                                                                   | [:day, :month, :year]                                                                                                                                                                                                                                                                                                                                        |
|   en   | datetime.distance_in_words.about_x_hours.one                                 | aproximadamente 1 hora                                                                                                                                                                                                                                                                                                                                       |
|   en   | datetime.distance_in_words.about_x_hours.other                               | aproximadamente %{count} horas                                                                                                                                                                                                                                                                                                                               |
|   en   | datetime.distance_in_words.about_x_months.one                                | aproximadamente 1 mês                                                                                                                                                                                                                                                                                                                                        |
|   en   | datetime.distance_in_words.about_x_months.other                              | aproximadamente %{count} meses                                                                                                                                                                                                                                                                                                                               |
|   en   | datetime.distance_in_words.about_x_years.one                                 | aproximadamente 1 ano                                                                                                                                                                                                                                                                                                                                        |
|   en   | datetime.distance_in_words.about_x_years.other                               | aproximadamente %{count} anos                                                                                                                                                                                                                                                                                                                                |
|   en   | datetime.distance_in_words.almost_x_years.one                                | quase 1 ano                                                                                                                                                                                                                                                                                                                                                  |
