+--------+---------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Locale | Key                                               | Value in other locales or source                                                                                                                                                                                           |
|   en   | noun.update                                       | pt_BR Atualização                                                                                                                                                                                                          |
|   en   | num_veterans.pap                                  | pt_BR Matriculados previstos para continuarem seus estudos (programas duração > 1 ano)                                                                                                                                     |
|   en   | of.f                                              | pt_BR da                                                                                                                                                                                                                   |
|   en   | of.m                                              | pt_BR do                                                                                                                                                                                                                   |
|   en   | of.n                                              | pt_BR de                                                                                                                                                                                                                   |
|   en   | ordinal.1                                         | pt_BR Primeiro                                                                                                                                                                                                             |
|   en   | ordinal.10                                        | pt_BR Décimo                                                                                                                                                                                                               |
|   en   | ordinal.2                                         | pt_BR Segundo                                                                                                                                                                                                              |
|   en   | ordinal.3                                         | pt_BR Terceiro                                                                                                                                                                                                             |
|   en   | ordinal.4                                         | pt_BR Quarto                                                                                                                                                                                                               |
|   en   | ordinal.5                                         | pt_BR Quinto                                                                                                                                                                                                               |
|   en   | ordinal.6                                         | pt_BR Sexto                                                                                                                                                                                                                |
|   en   | ordinal.7                                         | pt_BR Sétimo                                                                                                                                                                                                               |
|   en   | ordinal.8                                         | pt_BR Oitavo                                                                                                                                                                                                               |
|   en   | ordinal.9                                         | pt_BR Nono                                                                                                                                                                                                                 |
|   en   | other.f                                           | pt_BR outra                                                                                                                                                                                                                |
|   en   | other.m                                           | pt_BR outro                                                                                                                                                                                                                |
|   en   | our.f                                             | pt_BR nossa                                                                                                                                                                                                                |
|   en   | our.m                                             | pt_BR nosso                                                                                                                                                                                                                |
|   en   | registered.f                                      | pt_BR cadastrada                                                                                                                                                                                                           |
|   en   | registered.m                                      | pt_BR cadastrado                                                                                                                                                                                                           |
|   en   | registered_so_far.f                               | pt_BR cadastrada até o momento                                                                                                                                                                                             |
|   en   | registered_so_far.m                               | pt_BR cadastrado até o momento                                                                                                                                                                                             |
|   en   | removed.f                                         | pt_BR removida                                                                                                                                                                                                             |
|   en   | removed.m                                         | pt_BR removido                                                                                                                                                                                                             |
|   en   | situation                                         | pt_BR Situação                                                                                                                                                                                                             |
|   en   | succesfully                                       | pt_BR com sucesso.                                                                                                                                                                                                         |
|   en   | suspended.f                                       | pt_BR Suspensa                                                                                                                                                                                                             |
|   en   | suspended.m                                       | pt_BR Suspenso                                                                                                                                                                                                             |
|   en   | teaching_area                                     | pt_BR Área de ensino                                                                                                                                                                                                       |
|   en   | unchanged.f                                       | pt_BR inalterada                                                                                                                                                                                                           |
|   en   | unchanged.m                                       | pt_BR inalterado                                                                                                                                                                                                           |
|   en   | updated.f                                         | pt_BR atualizada                                                                                                                                                                                                           |
|   en   | updated.m                                         | pt_BR atualizado                                                                                                                                                                                                           |
| pt_BR  | actions.active.f                                  | en active                                                                                                                                                                                                                  |
| pt_BR  | actions.active.m                                  | en active                                                                                                                                                                                                                  |
| pt_BR  | actions.annotate                                  | en Annotate                                                                                                                                                                                                                |
| pt_BR  | actions.annotated.f                               | en annotated                                                                                                                                                                                                               |
| pt_BR  | actions.annotated.m                               | en annotated                                                                                                                                                                                                               |
| pt_BR  | actions.annotated.pl                              | en annotated                                                                                                                                                                                                               |
| pt_BR  | actions.another.f                                 | en another                                                                                                                                                                                                                 |
| pt_BR  | actions.another.m                                 | en another                                                                                                                                                                                                                 |
| pt_BR  | actions.belongs.medres                            | en Belongs to MR                                                                                                                                                                                                           |
| pt_BR  | actions.belongs.pap                               | en Belongs to PAP                                                                                                                                                                                                          |
| pt_BR  | actions.calculated.f                              | en calculated                                                                                                                                                                                                              |
| pt_BR  | actions.calculated.m                              | en calculated                                                                                                                                                                                                              |
| pt_BR  | actions.calculated.pl                             | en calculated                                                                                                                                                                                                              |
| pt_BR  | actions.cancelled.f                               | en cancelled                                                                                                                                                                                                               |
| pt_BR  | actions.cancelled.m                               | en cancelled                                                                                                                                                                                                               |
| pt_BR  | actions.confirm2.bankfile                         | en Notice: the bankpayment file generation procedure may take a while (more than a minute), depending on the number of students and server speed.  This is normal.  Shall I proceed?                                       |
| pt_BR  | actions.confirm2.delete                           | en Are you certain you wish to delete?                                                                                                                                                                                     |
| pt_BR  | actions.confirm2.visit_external_site              | en You will visit an external website.  Are you sure ?                                                                                                                                                                     |
| pt_BR  | actions.confirmed.f                               | en confirmed                                                                                                                                                                                                               |
| pt_BR  | actions.confirmed.m                               | en confirmed                                                                                                                                                                                                               |
| pt_BR  | actions.created.f                                 | en created                                                                                                                                                                                                                 |
| pt_BR  | actions.created.m                                 | en created                                                                                                                                                                                                                 |
| pt_BR  | actions.deannotated.f                             | en annotation cleared                                                                                                                                                                                                      |
| pt_BR  | actions.deannotated.m                             | en annotation cleared                                                                                                                                                                                                      |
| pt_BR  | actions.deleted.f                                 | en removed                                                                                                                                                                                                                 |
| pt_BR  | actions.deleted.m                                 | en removed                                                                                                                                                                                                                 |
| pt_BR  | actions.done.f                                    | en concluded                                                                                                                                                                                                               |
| pt_BR  | actions.done.m                                    | en concluded                                                                                                                                                                                                               |
