+--------+------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Locale | Key                                                                          | Value                                                                                                                                                                                                                                                                                                                                                            |
| pt_BR  | activerecord.attributes.diploma.pap                                          | PAP                                                                                                                                                                                                                                                                                                                                                              |
| pt_BR  | activerecord.attributes.event.virtual.numdays                                | Subtotal                                                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | activerecord.attributes.institution.pap                                      | PAP                                                                                                                                                                                                                                                                                                                                                              |
| pt_BR  | activerecord.attributes.leavetype.pap                                        | PAP                                                                                                                                                                                                                                                                                                                                                              |
| pt_BR  | activerecord.attributes.municipality.capital                                 | Capital                                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | activerecord.attributes.payroll.pap                                          | PAP                                                                                                                                                                                                                                                                                                                                                              |
| pt_BR  | activerecord.attributes.phone.fax                                            | Fax                                                                                                                                                                                                                                                                                                                                                              |
| pt_BR  | activerecord.attributes.profession.pap                                       | Pap                                                                                                                                                                                                                                                                                                                                                              |
| pt_BR  | activerecord.attributes.professionalarea.pap                                 | PAP                                                                                                                                                                                                                                                                                                                                                              |
| pt_BR  | activerecord.attributes.professionalfamily.pap                               | PAP                                                                                                                                                                                                                                                                                                                                                              |
| pt_BR  | activerecord.attributes.professionalspecialty.pap                            | PAP                                                                                                                                                                                                                                                                                                                                                              |
| pt_BR  | activerecord.attributes.program.pap                                          | Pap                                                                                                                                                                                                                                                                                                                                                              |
| pt_BR  | activerecord.attributes.registrationkind.regular                             | Normal                                                                                                                                                                                                                                                                                                                                                           |
| pt_BR  | activerecord.attributes.role.pap                                             | Pap                                                                                                                                                                                                                                                                                                                                                              |
| pt_BR  | activerecord.attributes.scholarship.pap                                      | PAP                                                                                                                                                                                                                                                                                                                                                              |
| pt_BR  | activerecord.attributes.schoolterm.pap                                       | Pap                                                                                                                                                                                                                                                                                                                                                              |
| pt_BR  | activerecord.attributes.taxation.pap                                         | PAP                                                                                                                                                                                                                                                                                                                                                              |
| pt_BR  | activerecord.attributes.user.email                                           | E-mail                                                                                                                                                                                                                                                                                                                                                           |
| pt_BR  | activerecord.attributes.webinfo.email                                        | E-mail                                                                                                                                                                                                                                                                                                                                                           |
| pt_BR  | activerecord.attributes.webinfo.facebook                                     | Facebook                                                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | activerecord.attributes.webinfo.site                                         | Site                                                                                                                                                                                                                                                                                                                                                             |
| pt_BR  | activerecord.attributes.webinfo.twitter                                      | Twitter                                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | area.pap.abbreviation                                                        | PAP                                                                                                                                                                                                                                                                                                                                                              |
| pt_BR  | date.formats.compact                                                         | %-d-%b-%y                                                                                                                                                                                                                                                                                                                                                        |
| pt_BR  | date.formats.compactmonthyear                                                | %b/%y                                                                                                                                                                                                                                                                                                                                                            |
| pt_BR  | date.formats.dashed                                                          | %d—%m—%Y                                                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | date.formats.default                                                         | %d/%m/%Y                                                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | date.formats.inverted                                                        | %_y_%b_%d                                                                                                                                                                                                                                                                                                                                                        |
| pt_BR  | date.formats.seeder                                                          | %-Y-%m-%d                                                                                                                                                                                                                                                                                                                                                        |
| pt_BR  | date.formats.seeofr                                                          | %-Y-%m-%d                                                                                                                                                                                                                                                                                                                                                        |
| pt_BR  | date.formats.underscore                                                      | %d_%b_%y                                                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | date.formats.unofrscore                                                      | %d_%b_%y                                                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | date.formats.ymd                                                             | %Y-%m-%d                                                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | definitions.schoolyear.sector_prefix.pap                                     | PA                                                                                                                                                                                                                                                                                                                                                               |
| pt_BR  | devise.failure.invalid_token                                                 | Token de autenticação inválido.                                                                                                                                                                                                                                                                                                                                  |
| pt_BR  | diploma                                                                      | Diploma                                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | errors.format                                                                | %{attribute} %{message}                                                                                                                                                                                                                                                                                                                                          |
| pt_BR  | normal                                                                       | Normal                                                                                                                                                                                                                                                                                                                                                           |
| pt_BR  | number.currency.format.format                                                | %u%n                                                                                                                                                                                                                                                                                                                                                             |
| pt_BR  | number.human.decimal_units.format                                            | %n %u                                                                                                                                                                                                                                                                                                                                                            |
| pt_BR  | number.human.storage_units.format                                            | %n %u                                                                                                                                                                                                                                                                                                                                                            |
| pt_BR  | number.human.storage_units.units.byte.one                                    | Byte                                                                                                                                                                                                                                                                                                                                                             |
| pt_BR  | number.human.storage_units.units.byte.other                                  | Bytes                                                                                                                                                                                                                                                                                                                                                            |
| pt_BR  | number.human.storage_units.units.gb                                          | GB                                                                                                                                                                                                                                                                                                                                                               |
| pt_BR  | number.human.storage_units.units.kb                                          | KB                                                                                                                                                                                                                                                                                                                                                               |
| pt_BR  | number.human.storage_units.units.mb                                          | MB                                                                                                                                                                                                                                                                                                                                                               |
| pt_BR  | number.human.storage_units.units.tb                                          | TB                                                                                                                                                                                                                                                                                                                                                               |
| pt_BR  | ransack.and                                                                  | e                                                                                                                                                                                                                                                                                                                                                                |
| pt_BR  | subtotal                                                                     | subtotal                                                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | support.array.words_connector                                                | ,                                                                                                                                                                                                                                                                                                                                                                |
| pt_BR  | time.formats.compact                                                         | %d/%b/%y, %H:%M:%S                                                                                                                                                                                                                                                                                                                                               |
| pt_BR  | time.formats.hms                                                             | %H:%M:%S                                                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | time.formats.short                                                           | %d/%m, %H:%M hs                                                                                                                                                                                                                                                                                                                                                  |
| pt_BR  | total                                                                        | total                                                                                                                                                                                                                                                                                                                                                            |
| pt_BR  | tutorial                                                                     | Tutorial                                                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | validates_timeliness.error_value_formats.date                                | %Y-%m-%d                                                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | validates_timeliness.error_value_formats.datetime                            | %Y-%m-%d %H:%M:%S                                                                                                                                                                                                                                                                                                                                                |
| pt_BR  | validates_timeliness.error_value_formats.time                                | %H:%M:%S                                                                                                                                                                                                                                                                                                                                                         |
| pt_BR  | views.pagination.truncate                                                    | &hellip;                                                                                                                                                                                                                                                                                                                                                         |
+--------+------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
