+--------+------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Locale | Key                                                                          | Value                                                                                                                                                                                                                                                                                                                                                            |
|   en   | date.formats.seeder                                                          | %-Y-%m-%d                                                                                                                                                                                                                                                                                                                                                        |
|   en   | date.formats.short                                                           | %d of %B                                                                                                                                                                                                                                                                                                                                                         |
|   en   | date.formats.underscore                                                      | %d_%b_%y                                                                                                                                                                                                                                                                                                                                                         |
|   en   | date.month_names                                                             | ["nil", "January", "February", "March", "April", "May", "June", "July", "August", "September", "October", "November", "December"]                                                                                                                                                                                                                                |
|   en   | date.order                                                                   | ["day", "month", "year"]                                                                                                                                                                                                                                                                                                                                         |
|   en   | datetime.distance_in_words.about_x_hours.one                                 | approximately 1 hour                                                                                                                                                                                                                                                                                                                                             |
|   en   | datetime.distance_in_words.about_x_hours.other                               | approximately %{count} hours                                                                                                                                                                                                                                                                                                                                     |
|   en   | datetime.distance_in_words.about_x_months.one                                | approximately 1 month                                                                                                                                                                                                                                                                                                                                            |
|   en   | datetime.distance_in_words.about_x_months.other                              | approximately %{count} months                                                                                                                                                                                                                                                                                                                                    |
|   en   | datetime.distance_in_words.about_x_years.one                                 | approximately 1 year                                                                                                                                                                                                                                                                                                                                             |
|   en   | datetime.distance_in_words.about_x_years.other                               | approximately %{count} years                                                                                                                                                                                                                                                                                                                                     |
|   en   | datetime.distance_in_words.almost_x_years.one                                | almost 1 year                                                                                                                                                                                                                                                                                                                                                    |
|   en   | datetime.distance_in_words.almost_x_years.other                              | almost %{count} years                                                                                                                                                                                                                                                                                                                                            |
|   en   | datetime.distance_in_words.half_a_minute                                     | half a minute                                                                                                                                                                                                                                                                                                                                                    |
|   en   | datetime.distance_in_words.less_than_x_minutes.one                           | less than a minute                                                                                                                                                                                                                                                                                                                                               |
|   en   | datetime.distance_in_words.less_than_x_minutes.other                         | less than %{count} minutes                                                                                                                                                                                                                                                                                                                                       |
|   en   | datetime.distance_in_words.less_than_x_seconds.one                           | less than 1 second                                                                                                                                                                                                                                                                                                                                               |
|   en   | datetime.distance_in_words.less_than_x_seconds.other                         | less than %{count} seconds                                                                                                                                                                                                                                                                                                                                       |
|   en   | datetime.distance_in_words.over_x_years.one                                  | greather than 1 year                                                                                                                                                                                                                                                                                                                                             |
|   en   | datetime.distance_in_words.over_x_years.other                                | greather than %{count} years                                                                                                                                                                                                                                                                                                                                     |
|   en   | datetime.distance_in_words.x_days.one                                        | 1 day                                                                                                                                                                                                                                                                                                                                                            |
|   en   | datetime.distance_in_words.x_days.other                                      | %{count} days                                                                                                                                                                                                                                                                                                                                                    |
|   en   | datetime.distance_in_words.x_minutes.one                                     | 1 minute                                                                                                                                                                                                                                                                                                                                                         |
|   en   | datetime.distance_in_words.x_minutes.other                                   | %{count} minutes                                                                                                                                                                                                                                                                                                                                                 |
|   en   | datetime.distance_in_words.x_months.one                                      | 1 month                                                                                                                                                                                                                                                                                                                                                          |
|   en   | datetime.distance_in_words.x_months.other                                    | %{count} months                                                                                                                                                                                                                                                                                                                                                  |
